audio_fp,video_fp,split
dev/aac/id04219/bGLFntUuA58/00409.m4a,dev/mp4/id04219/bGLFntUuA58/00409.mp4,val
dev/aac/id04219/bGLFntUuA58/00408.m4a,dev/mp4/id04219/bGLFntUuA58/00408.mp4,train
dev/aac/id04219/W1MRIB2NKjA/00394.m4a,dev/mp4/id04219/W1MRIB2NKjA/00394.mp4,train
dev/aac/id04219/W1MRIB2NKjA/00389.m4a,dev/mp4/id04219/W1MRIB2NKjA/00389.mp4,train
dev/aac/id04219/W1MRIB2NKjA/00391.m4a,dev/mp4/id04219/W1MRIB2NKjA/00391.mp4,train
dev/aac/id04219/W1MRIB2NKjA/00393.m4a,dev/mp4/id04219/W1MRIB2NKjA/00393.mp4,val
dev/aac/id04219/W1MRIB2NKjA/00392.m4a,dev/mp4/id04219/W1MRIB2NKjA/00392.mp4,train
dev/aac/id04219/W1MRIB2NKjA/00390.m4a,dev/mp4/id04219/W1MRIB2NKjA/00390.mp4,val
dev/aac/id04219/iWMGjFqofPg/00419.m4a,dev/mp4/id04219/iWMGjFqofPg/00419.mp4,train
dev/aac/id04219/cX6vcS8yzc0/00412.m4a,dev/mp4/id04219/cX6vcS8yzc0/00412.mp4,train
dev/aac/id04219/cX6vcS8yzc0/00410.m4a,dev/mp4/id04219/cX6vcS8yzc0/00410.mp4,train
dev/aac/id04219/cX6vcS8yzc0/00415.m4a,dev/mp4/id04219/cX6vcS8yzc0/00415.mp4,train
dev/aac/id04219/cX6vcS8yzc0/00411.m4a,dev/mp4/id04219/cX6vcS8yzc0/00411.mp4,val
dev/aac/id04219/cX6vcS8yzc0/00414.m4a,dev/mp4/id04219/cX6vcS8yzc0/00414.mp4,val
dev/aac/id04219/cX6vcS8yzc0/00416.m4a,dev/mp4/id04219/cX6vcS8yzc0/00416.mp4,val
dev/aac/id04219/cX6vcS8yzc0/00413.m4a,dev/mp4/id04219/cX6vcS8yzc0/00413.mp4,train
dev/aac/id04219/j4Gpj2MMOaw/00422.m4a,dev/mp4/id04219/j4Gpj2MMOaw/00422.mp4,train
dev/aac/id04219/j4Gpj2MMOaw/00423.m4a,dev/mp4/id04219/j4Gpj2MMOaw/00423.mp4,train
dev/aac/id04219/j4Gpj2MMOaw/00421.m4a,dev/mp4/id04219/j4Gpj2MMOaw/00421.mp4,val
dev/aac/id04219/j4Gpj2MMOaw/00425.m4a,dev/mp4/id04219/j4Gpj2MMOaw/00425.mp4,train
dev/aac/id04219/j4Gpj2MMOaw/00424.m4a,dev/mp4/id04219/j4Gpj2MMOaw/00424.mp4,train
dev/aac/id04219/j4Gpj2MMOaw/00420.m4a,dev/mp4/id04219/j4Gpj2MMOaw/00420.mp4,train
dev/aac/id04219/Kb-uzxyTooQ/00215.m4a,dev/mp4/id04219/Kb-uzxyTooQ/00215.mp4,train
dev/aac/id04219/Kb-uzxyTooQ/00216.m4a,dev/mp4/id04219/Kb-uzxyTooQ/00216.mp4,train
dev/aac/id04219/Kb-uzxyTooQ/00214.m4a,dev/mp4/id04219/Kb-uzxyTooQ/00214.mp4,train
dev/aac/id04219/Kb-uzxyTooQ/00213.m4a,dev/mp4/id04219/Kb-uzxyTooQ/00213.mp4,train
dev/aac/id04219/qOimc5eDIjk/00461.m4a,dev/mp4/id04219/qOimc5eDIjk/00461.mp4,train
dev/aac/id04219/qOimc5eDIjk/00464.m4a,dev/mp4/id04219/qOimc5eDIjk/00464.mp4,train
dev/aac/id04219/qOimc5eDIjk/00458.m4a,dev/mp4/id04219/qOimc5eDIjk/00458.mp4,train
dev/aac/id04219/qOimc5eDIjk/00463.m4a,dev/mp4/id04219/qOimc5eDIjk/00463.mp4,train
dev/aac/id04219/qOimc5eDIjk/00459.m4a,dev/mp4/id04219/qOimc5eDIjk/00459.mp4,train
